Invoice ID,Product ID,Shop ID,Customer ID,Date,Time,Payment,Unit Price,Quantity,Total Price
750-67-8428,ES41,SG1,7,1/5/2019,13:08,Ewallet,74.69,7,522.83
226-31-3081,ES41,SG1,7,3/8/2019,10:29,Cash,15.28,5,76.4
631-41-3108,ES41,SG2,7,3/3/2019,13:23,Credit card,46.33,7,324.31
123-19-1176,FV22,SG2,8,1/27/2019,20:33,Ewallet,58.22,8,465.76
373-73-7910,FV22,MY6,7,2/8/2019,10:37,Ewallet,86.31,7,604.17
699-14-3026,FV22,MY2,8,3/25/2019,18:30,Ewallet,85.39,7,597.73
355-53-5943,FV22,MY7,8,2/25/2019,14:36,Credit card,68.84,6,412.04
315-22-5665,FV22,MY7,8,1/24/2019,11:38,Ewallet,73.56,6,441.36
665-32-9167,FV22,MY7,8,3/9/2019,10:38,Cash,36.26,5,181.3
692-92-5582,KW65,MY43,56,3/11/2019,13:51,Ewallet,79.05,6,474.3
351-62-0822,KW65,MY43,56,1/1/2019,10:39,Credit card,45.26,5,226.3
529-56-3974,KW65,MY43,56,3/9/2019,13:46,Cash,33.62,5,168.1
365-64-0515,KW65,MY43,56,1/24/2019,11:38,Ewallet,71.56,6,429.36
252-56-2699,KW65,MY43,56,3/9/2019,13:46,Cash,33.62,5,168.1
829-34-3910,KW65,MY43,56,1/24/2019,11:38,Ewallet,71.56,6,429.36
656-95-9349,KW65,MY43,56,3/9/2019,13:46,Cash,33.62,5,168.1
765-26-6951,KW65,MY43,56,1/24/2019,11:38,Ewallet,71.56,6,429.36
123-45-6789,PD12,SG3,9,2/15/2019,09:45,Credit card,25.99,3,77.97
987-65-4321,PD12,SG4,10,3/20/2019,14:12,Ewallet,19.99,2,39.98
543-21-8765,PD12,SG5,11,1/10/2019,16:30,Cash,15.99,4,63.96
246-80-1357,PD12,SG6,12,3/5/2019,11:20,Credit card,29.99,1,29.99
135-79-0246,PD12,SG7,13,2/25/2019,13:45,Ewallet,35.99,2,71.98
456-78-9012,PD34,SG8,14,1/15/2019,08:30,Cash,12.99,3,38.97
789-01-2345,PD56,SG9,15,2/20/2019,16:45,Ewallet,9.99,2,19.98
012-34-5678,PD78,SG10,16,3/10/2019,12:15,Credit card,19.99,4,79.96
345-67-8901,PD90,SG11,17,1/5/2019,14:30,Cash,8.99,1,8.99
678-90-1234,PD12,SG12,18,2/25/2019,09:45, Ewallet,14.99,2,29.98
901-23-4567,PD12,SG13,19,3/20/2019,14:12,Credit card,19.99,2,39.98
234-56-7890,PD12,SG14,20,1/10/2019,16:30,Cash,15.99,4,63.96
